;tool;sol_version;type;subtype;insecure;error;ground_truth
24;ethor-2023;v4;DelegatedReentrancy;ReentrantCodePartsFixedAddress;1.0;1;0
25;ethor-2023;v4;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;1;0
26;ethor-2023;v4;DelegatedReentrancy;SendFixedAddress;1.0;1;0
27;ethor-2023;v4;DelegatedReentrancy;SendUserDefinedAddress;1.0;1;0
28;ethor-2023;v4;DelegatedReentrancy;TransferFixedAddress;1.0;1;0
29;ethor-2023;v4;DelegatedReentrancy;TransferUserDefinedAddress;1.0;1;0
30;ethor-2023;v4;DelegatedReentrancy;VulnerableEtherLossFixedAddress;1.0;1;1
31;ethor-2023;v4;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;1;1
32;ethor-2023;v4;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;1;1
33;ethor-2023;v4;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;1;1
34;ethor-2023;v4;SameFunctionReentrancy;NonReentrant;0.0;0;0
35;ethor-2023;v4;SameFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
36;ethor-2023;v4;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
37;ethor-2023;v4;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
38;ethor-2023;v4;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
39;ethor-2023;v4;SameFunctionReentrancy;SendFixedAddress;0.0;0;0
40;ethor-2023;v4;SameFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
41;ethor-2023;v4;SameFunctionReentrancy;TransferFixedAddress;0.0;0;0
42;ethor-2023;v4;SameFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
43;ethor-2023;v4;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
44;ethor-2023;v4;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
45;ethor-2023;v4;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;0.0;1;1
46;ethor-2023;v4;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;1;1
47;ethor-2023;v5;CreateBasedReentrancy;NonReentrant;1.0;0;0
48;ethor-2023;v5;CreateBasedReentrancy;NonVulnerableFixedAddress;1.0;0;0
49;ethor-2023;v5;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
50;ethor-2023;v5;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
51;ethor-2023;v5;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
52;ethor-2023;v5;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
53;ethor-2023;v5;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
54;ethor-2023;v5;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
55;ethor-2023;v5;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
56;ethor-2023;v5;CrossFunctionReentrancy;NonReentrant;0.0;0;0
57;ethor-2023;v5;CrossFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
58;ethor-2023;v5;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
59;ethor-2023;v5;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
60;ethor-2023;v5;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
61;ethor-2023;v5;CrossFunctionReentrancy;SendFixedAddress;1.0;0;0
62;ethor-2023;v5;CrossFunctionReentrancy;SendUserDefinedAddress;1.0;0;0
63;ethor-2023;v5;CrossFunctionReentrancy;TransferFixedAddress;1.0;0;0
64;ethor-2023;v5;CrossFunctionReentrancy;TransferUserDefinedAddress;1.0;0;0
